,Name,Born,Nationality,Notable work,Died,Other&#160;names,Occupation,Known&#160;for,Relatives,Buildings,Alma&#160;mater,Parents,Spouses,Children,Years&#160;active,Resting place,Education,Style,Elected,Residence,Movement,Cause&#160;of death,Awards,Practice,Chinese,Hanyu Pinyin,Gwoyeu Romatzyh,Wade&#8211;Giles,IPA,Romanization,Yale Romanization,Jyutping,T&#226;i-l&#244,Traditional&#160;Chinese,Simplified Chinese,4th,Employer,I. M. Pei,Native&#160;name,Citizenship,Patrons,Sir Mortimer Wheeler,Fields,Influences,Projects,Design,Charles Darwin,Author&#160;abbrev. botany,Institutions,Thesis,Author&#160;abbrev. zoology,Barbara McClintock,William Thomas Stearn,Influenced,G. Ledyard Stebbins,Era,Region,School,Notable ideas,2nd Chief Coiner of the,Harold Innis,Alma mater,Doctoral advisor,Chairman of,Preceded by,Succeeded by,1st,President,23rd,Joseph Priestley,Body discovered,Criminal charge,Criminal penalty,Terry Fox,Title,Ursula Franklin,Literary movement,Motive,Convictions,Penalty,Burial place,Website,Criminal status,Victims,Monuments,Discipline,Organization,Board member&#160;of,Ray Fletcher Farquharson,Home&#160;town,Political party,Sir,Abu Nidal,Lieutenant,3rd,Governor,Delegate from Massachusetts to the,Clerk of the,Allegiance,Rank,Battles/wars,Nicknames,Buried,Service,Years&#160;of service,Unit,The Reverend,Church,Diocese,Predecessor,Successor,Partners,Nickname,Years active,Base of operations,Commands,28th and 31st,United States Senator,27th,Leader of the,Member of the,Type,Commands held,Major-General,Lieutenant Governor of Upper Canada,Monarch,Governor General,Acting for,Confederate States Senator,Reign,Co-rulers,Burial,Spouse,Issue,Dynasty,Father,Mother,Tenure,Vice President,9th,Th&#237;ch,Other names,Language,2nd,2nd Confederate,Birth name,Mohave,Relations,Venerated&#160;in,Beatified,Canonized,Feast,Attributes,Shen Kuo,Appointed by,President of the,1st Mayor of,Opponents,Sheriff of Essex,Appointed,Consecration,Phan &#272;&#236;nh Ph&#249;ng,Phan X&#237;ch Long,Branch,Years&#160;of&#160;service,Secretary of the,35th,32nd,Lieutenant-Colonel,Major,Patronage,The Right Honourable,Member of Parliament,Other posts,Sir Robert Garran,Secretary,Senior Judge,Chief Judge of the,Judge of the,Disappeared,Status,Height,Leader,Nominated by,United States Assistant Attorney General,Author,Country,Genre,Published,Media&#160;type,Pages,ISBN,OCLC,Dewey Decimal,LC&#160;Class,Preceded&#160;by,Followed&#160;by,Publisher,Publication date,Cover&#160;artist,Lazarus Aaronson,Notable works,Notable awards,Pen name,Period,Other&#160;work,Subject,Suzhounese,Hokkien,Middle Chinese,Tengku,Areas,Main interests,Yang Berbahagia Datuk,Olivia Manning,Subjects,Native name,The Honourable,Philitas of Cos,J. K. Rowling,Baptised,J. R. R. Tolkien,The Most Illustrious,Doctoral students,Other&#160;notable students,Works,Eric Bana,Russell T Davies,Family,Peter Jennings,Notable credits,Salary,Angelina Jolie,Honours,James Nesbitt,Sydney Newman,Peter Sellers,Kate Winslet,Catherine Zeta-Jones,Also known as,Origin,Genres,Occupations,Instruments,Labels,Associated acts,Net&#160;worth,Television,Location,Conference,Founded,Director,Associate Director,Members,George Harrison,Imogen Holst,Past members,John Lennon,Kylie Minogue,NASA,Selection,Total,Total EVA time,Missions,Retirement,Service&#160;branch,Codename,Operations,Sir Mark Oliphant,8th,Delegate to the Continental Congress,Constituency,39th,55th,21st,20th,10th Chairman of the,Engineer-in-Chief,Inspector General,Quartermaster General,Deputy,30th,6th,28th,Deputy Prime Minister of the,Prime Minister,Chairman of the,14th,5th,31st,Governor-General,7th,10th,44th and 49th,36th,22nd and 24th,34th,17th,67th,56th,48th,50th,29th,46th,Mayor of,1st Director of the,49th,Treasurer,15th and 22nd,Stephen Owen Davies,Premier,13th,38th,12th,60th,37th,40th,53rd,45th,Chair of the,Lieutenant Governor,Delegate to the,19th,29th and 32nd,18th &amp; 24th,1st and 6th,24th,Quaid-e-Azam,16th,Mzee,Chairman of the Council of Ministers,43rd,26th,Commissioner of the,Leader of the Opposition,Chairman,David Lewis,National President,National Chairman,National Secretary,First President of the,Secretary of State for Justice of the,12th and 14th,MLA,MP,Joint-Premier of the Province of Canada,Place of burial,His Excellency,11th President of the,27th and 37th,25th,Member of the San Francisco Board of Supervisors,52nd,44th,59th,51st,3rd Chief Coiner of the,Marshal,Chief of State,16th &amp; 18th,General Inspector of the Armed Forces,33rd,11th,F&#248;rer,His Royal Highness,Styles of,Reference style,Spoken style,Alternative style,Speaker,9th and 13th President of the,70th,Head of state,Head of government,Reeve,Member of the House of Commons of Canada for,42nd,84th,Minister of Post and Telegraph of the,Kyai,Minister for Air,Saint,Feast day,Venerated in,Shrines,See,Tradition or movement,Province,Ordination,The Right Reverend,Denomination,Chief Justiciar of England,Previous post,The Most Reverend,Profession,Controversy,Chief,Chancellor,chancellor,The Very Reverend,Lord Chancellor,Archdiocese,Metropolis,House,Consort,Religion,Lord,Coronation,Queen consort of the United Kingdom,Imperial Durbar,al-Mu\'tasim,Honored&#160;in,Queen consort of England,Queen of England,Queen of Great Britain,King of Syria,Kushite king,Co-Emperor,Western Emperors,Queen consort of Great Britain,King of Wessex,King of England,King of Scotland,General,Her Grace,Queen consort,Predecessors,Co-emperor,Wife,Modern Gaelic,Latin,Norman French,King of Northumbria,Regent,King of the United Kingdom,Supposed spouse,German Emperor,King of Great Britain,King of the United Kingdom of Great Britain and Ireland,Royal styles of,Successors,Munshi,Emperor,Marwan I,Co-monarch,Regents,Holy Roman Empress,Lady of the English,Sultan of Granada,Sultan of,Rule,Al-Mu\'tadid bi-llah,Ras,Pedro&#160;I of Brazil,Prime Ministers,Senior First Rank,Tribe,Coregency,Consorts,Simeon the Great,Siward,Wives,King of Armenia,Queen of the United Kingdom,Full name,Batting,Bowling,Role,Team,Record,1983&#8211;1987,Ring names,Billed height,Billed weight,Billed from,Debut,National&#160;team,Weight,Sport,Strokes,College team,Retired,Teams,Starts,Wins,1935,"1930, 1931",Country&#160;sports,Turned&#160;pro,Plays,Prize money,Int. Tennis HoF,Official&#160;website,Career&#160;record,Career&#160;titles,Highest&#160;ranking,Australian&#160;Open,French&#160;Open,Wimbledon,US Open,Tour&#160;Finals,Olympic&#160;Games,Fed Cup,Hopman Cup,Position,League,Listed height,Listed weight,High school,College,NBA draft,Playing career,2008&#8211;2009,2009,2009&#8211;2010,2013,2014,2015,Trained by,1890&#8211;1891,Number,Coaching career,1997,2019,Major wins/Championships,Date of birth,Place of birth,Date of death,Place of death,Notable relatives,Full&#160;name,2016&#8211;present,Real name,NFL Draft,Wayne Gretzky,Formula One,Active&#160;years,Entries,Championships,Podiums,Career points,Pole positions,Fastest laps,First entry,First win,Last win,Last entry,Current&#160;team,Rider&#160;type,1975&#8211;1977,1978&#8211;1983,1984&#8211;1986,1994,2001,2002,2003&#8211;2004,2004,2007&#8211;2008,2008,2010,2019&#8211;present,1979,1999&#8211;2000,2000,1984,Weights,Turned pro,Club,Alain Prost,1956,1966,1973,1987&#8211;1988,8211,Coach,"No. 21, 3, 1",Bert Trautmann,Teachers,Main discipline,Other disciplines,Notable ascents,Famous partnerships,"1886&#8211;1889, 1891",6th President of the,Air force,Chief Executive/Vice Chairman of,President of,Admiral of the Fleet,SS-Obergruppenf&#252;hrer und General der Waffen-SS,Service number,Notable students,President of the Council of Ministers,Phillip Davey,Service years,vojvoda,18th,Acting,Branch/service,Air Marshal,Viceregal styles of,Roy Inwood,Member of the  House of Lords,J&#248;rgen Christian Jensen,Hasan al-Kharrat,Brigadier General Sir,General of the Army,Minister of Education,Armijski &#273;eneral,Generalleutnant,United States Secretary of War,Raden,Lawrence Weathers,Stanley Price Weir,Maurice Wilder-Neligan,James Park Woods
538,Rutherford B. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Long,Samuel Fenton Cary,,,,,,,,,,,,,,,,,,,,,,,,,,,,John C. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. House of Representatives, from, Ohio, s, 2nd, district",,,,,,,,,,,,,,,,,,William A. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of the United States,Governor of Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,John L. Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archibald Dixon,John Burton Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Stevenson,,John J. Crittenden,,,,,,,,,,,,,,,,,,,,,,,,,Kentucky House of Representatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lieutenant Governor of Kentucky,,,,,,,,,,,,,Governor of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Patrick Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edmund Pendleton, Acting",Thomas Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Governor of Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Garret Hobart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adlai Stevenson,Theodore Roosevelt,,William McKinley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice President of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Margaret Lea Houston,"Margaret Moffette Lea, 1819-04-11, April 11, 1819, Marion, Alabama",,,"December 3, 1867, 1867-12-03, aged&#160;48, Independence, Texas",,,"First Lady of Republic of Texas (1841&#8211;1844, First Lady of State of Texas (1859&#8211;1861",,,Judson Female Institute,,Sam Houston,"8, including, Andrew Jackson, and, Temple Lea",,"Houston-Lea Family Cemetery, Independence, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,C. D. Howe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new riding,Douglas M. Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canadian Parliament, for, Port Arthur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C. D. Howe, PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Andrew Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Constituency established,William C. C. Claiborne,Territorial Governor of Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from, Tennessee",,,"U.S. House of Representatives, from, Tennessee, s, at-large, district",,,,,,,,,,,,,,,,,,"John C. Calhoun, 1829&#8211;1832, a, None, 1832&#8211;1833, Martin Van Buren (1833&#8211;1837",,,,,,,,,,,,,,,,James Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Muhammad Ali Jinnah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office created,Liaquat Ali Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liaquat Ali Khan,,,,,Liaquat Ali Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baba-i-Qaum, Muhammad Ali Jinnah, 1605;&#1581;&#1605;&#1583; &#1593;&#1604;&#1740; &#1580;&#1606;&#1575;&#1581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Andrew Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Dickens Arnold,Brookins Campbell,,Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"from, Tennessee",,,"U.S. House of Representatives, from Tennessee\'s, 1st, district",,,,,,,,,,,,,,,,,,"None, a",,,,,,,,,,,,,,,,Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of the United States,,,,,,,"Greeneville, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,Vice President of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Keen Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A. B. ""Happy"" Chandler",Rodes K. Myers,Undersecretary of Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodes K. Myers,,"A. B. ""Happy"" Chandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lieutenant Governor of Kentucky,,,Governor of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Paul Kagame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,George F. Kennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karl L. Rankin,Charles Burke Elbrick,,John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Jomo Kenyatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANU,James Gichuru,Daniel arap Moi,Prime Minister of Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malcolm MacDonald, 1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth II,,,,,,,,,,,,,"Jaramogi Oginga Odinga, Joseph Murumbi, Daniel arap Moi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malcolm MacDonald, 1963&#8211;1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jomo Kenyatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Nikita Khrushchev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgy Malenkov, de facto",Leonid Brezhnev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,of the Soviet Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
